UTC:,2022-07-12 00:55:05.858986
1657587306.1028938,21770,1364,1348,1368,21909,22045,22040,22039,22039,22038,22035,22041,22410,22041,22039,21968,
1657587306.1028938,A
1657587306.1038911,21777,1364,1347,1367,21910,22042,22044,22039,22041,22032,22035,22039,22040,22036,22036,22629,
1657587306.1038911,A
1657587306.1048887,21772,1363,1347,1368,21906,22039,22036,22033,22036,22033,22032,22033,22035,22034,22029,21962,
1657587306.1048887,A
1657587306.105886,21783,1364,1347,1367,21913,22037,22036,22041,22044,22042,22040,22039,22035,22035,22029,21960,
1657587306.105886,A
1657587306.1068833,21776,1362,1348,1368,21904,22046,22042,22041,22042,22041,22036,22039,22039,22040,22165,21966,
1657587306.1068833,A
1657587306.1078804,21776,1363,1347,1367,21910,22039,22042,22040,22042,22038,22039,22042,22040,22039,22035,21961,
1657587306.1078804,A
1657587306.1088781,21775,1361,1348,1367,21911,22042,22043,22035,22035,22032,22039,22033,22034,22035,22032,21961,
1657587306.1088781,A
1657587306.1098754,21775,1363,1348,1367,21913,22045,22038,22039,22038,22035,22039,22041,22042,22209,22038,21966,
1657587306.1108735,A
1657587306.1118705,21780,1364,1348,1368,21914,22044,22042,22042,22043,22040,22039,22039,22032,22031,22029,21965,
1657587306.1118705,A
1657587306.1128674,22370,1364,1348,1367,21910,22041,22039,22039,22039,22035,22041,22039,22041,22038,22032,21961,
1657587306.1128674,A
1657587306.1138647,21773,1364,1347,1368,21911,22041,22042,22043,22042,22040,22041,22041,22039,22038,22035,21966,
1657587306.1138647,A
1657587306.1148617,21780,1364,1348,1368,22602,22043,22037,22036,22035,22038,22039,22035,22038,22035,22033,22088,
1657587306.1148617,A
1657587306.1158593,21775,1364,1348,1368,21910,22045,22042,22038,22039,22035,22035,22040,22041,22039,22034,21963,
1657587306.1158593,A
1657587306.1168566,21773,1364,1348,1367,21910,22043,22042,22041,22042,22037,22038,22045,22039,22037,22032,21968,
1657587306.1168566,A
1657587306.1178539,21778,1362,1346,1368,21909,22043,22040,22039,22038,22035,22037,22039,22038,22039,22016,21961,
1657587306.1178539,A
1657587306.119849,21779,1364,1347,1367,21911,22044,22045,22036,22043,22031,22033,22033,22032,22032,22038,21958,
1657587306.119849,A
1657587306.1208792,21779,1361,1348,1368,21914,22036,22035,22043,22042,22032,22042,22041,22035,22035,22030,21959,
1657587306.1208792,A
1657587306.1228435,21772,1361,1347,1368,21909,22035,22039,22035,22035,22033,22032,22040,22035,22035,22038,21969,
1657587306.1228435,A
1657587306.1238387,21781,1364,1347,1367,21907,22727,22043,22043,22038,22029,22031,22032,22034,22031,22029,21961,
1657587306.1238387,A
1657587306.1248353,22021,1364,1347,1368,21914,22038,22044,22043,22044,22042,22042,22042,22045,22033,22033,21963,
1657587306.1248353,A
1657587306.1258326,21784,1363,1348,1368,21907,22039,22037,22036,22035,22036,22031,22033,22038,22033,22031,21962,
1657587306.1258326,A
1657587306.1268299,21779,1364,1348,1370,22007,22040,22039,22035,22038,22032,22033,22034,22035,22034,22032,21966,
1657587306.1268299,A
1657587306.1288242,21775,1364,1348,1367,21907,22035,22034,22158,22042,22042,22040,22032,22042,22039,22038,21964,
1657587306.1288242,A
1657587306.1298218,21777,1364,1347,1367,21909,22042,22042,22041,22040,22040,22039,22044,22031,22031,22036,21962,
1657587306.1298218,A
1657587306.130819,21776,1364,1348,1368,21914,22045,22042,22039,22042,22039,22041,22032,22037,22042,22029,21965,
1657587306.130819,A
1657587306.131848,21778,1364,1347,1370,21910,22042,22830,22045,22037,22039,22038,22038,22041,22038,22036,21958,
1657587306.131848,A
1657587306.132815,21780,1363,1347,1368,21907,22038,22037,22034,22038,22042,22041,22035,22042,22045,22037,21970,
1657587306.132815,A
1657587306.1338441,21781,1363,1347,1367,21910,22046,22045,22038,22039,22042,22035,22039,22040,22035,22035,21961,
1657587306.1338441,A
1657587306.134838,21777,1362,1347,1367,21912,22095,22040,22040,22042,22035,22035,22039,22041,22039,22035,21968,
1657587306.134838,A
1657587306.1358366,21781,1364,1348,1369,21905,22040,22035,22043,22241,22033,22042,22043,22038,22033,22029,21968,
1657587306.1358366,A
1657587306.1378295,21781,1363,1348,1368,21913,22047,22044,22044,22044,22041,22036,22041,22042,22041,22037,21957,
1657587306.1378295,A
1657587306.138798,21781,1363,1348,1369,22101,22047,22044,22044,22043,22041,22042,22042,22041,22039,22039,21969,
1657587306.138798,A
1657587306.1397958,21776,1364,1347,1370,21914,22042,22042,22827,22039,22035,22036,22037,22037,22035,22035,21967,
1657587306.1397958,A
1657587306.1417906,21775,1363,1347,1368,21906,22035,22047,22032,22033,22040,22043,22044,22044,22033,22040,21960,
1657587306.1417906,A
1657587306.1427884,21778,1364,1348,1368,21914,22045,22035,22042,22035,22037,22039,22042,22033,22041,22031,21958,
1657587306.1427884,A
1657587306.143823,21778,1364,1346,1368,21912,22045,22154,22041,22041,22034,22039,22037,22039,22042,22036,21966,
1657587306.143823,A
1657587306.1448152,21778,1365,1348,1367,21910,22047,22037,22042,22043,22200,22042,22039,22038,22041,22036,21969,
1657587306.1448152,A
1657587306.1458108,21776,1364,1347,1368,21913,22045,22035,22044,22033,22041,22032,22033,22034,22042,22035,21967,
1657587306.1458108,A
1657587306.1468031,21778,1363,1348,1368,21913,22457,22046,22044,22034,22042,22042,22042,22039,22037,22035,21969,
1657587306.1468031,A
1657587306.1478126,21775,1362,1346,1369,21907,22040,22038,22043,22851,22043,22039,22040,22039,22040,22035,21966,
1657587306.1487715,A
1657587306.1497977,21777,1364,1346,1368,21912,22045,22035,22042,22041,22039,22044,22751,22044,22042,22031,21958,
1657587306.1497977,A
1657587306.1507869,21778,1364,1346,1367,21912,22045,22042,22040,22042,22040,22031,22041,22042,22042,22026,21968,
1657587306.1507869,A
1657587306.1517634,21773,1364,1347,1367,21914,22045,22035,22510,22045,22041,22032,22034,22032,22040,22030,21968,
1657587306.1517634,A
1657587306.1527877,21781,1363,1347,1367,21906,22039,22039,22039,22036,22034,22133,22036,22037,22035,22029,21959,
1657587306.1527877,A
1657587306.1537828,21774,1364,1346,1368,21913,22044,22043,22042,22042,22041,22032,22043,22034,22029,22028,21961,
1657587306.1537828,A
1657587306.1557784,21783,1364,1348,1368,21904,22044,22209,22044,22035,22041,22041,22035,22044,22041,22039,21961,
1657587306.1557784,A
1657587306.15675,21781,1364,1348,1368,21905,22044,22042,22038,22040,22824,22038,22040,22036,22040,22034,21963,
1657587306.15675,A
1657587306.157774,21776,1363,1348,1368,21915,22043,22038,22035,22034,22034,22035,22036,22755,22039,22035,21967,
1657587306.157774,A
1657587306.159791,21776,1364,1347,1369,21912,22037,22039,22035,22036,22035,22035,22035,22039,22035,22033,21965,
1657587306.159791,A
1657587306.1607697,21774,1362,1348,1368,21909,22042,22041,22040,22349,22040,22042,22045,22042,22042,22032,21966,
1657587306.1607697,A
1657587306.1627426,21778,1363,1348,1368,21912,22042,22041,22043,22039,22039,22038,22042,22037,22035,22032,21961,
1657587306.1627426,A
1657587306.1647289,21780,1364,1348,1370,21910,22036,22045,22034,22033,22032,22035,22034,22032,22032,22031,21961,
1657587306.1647289,A
1657587306.165727,21781,1364,1346,1367,21907,22039,22037,22207,22045,22042,22044,22044,22044,22043,22030,21961,
1657587306.165727,A
1657587306.1677213,21779,1364,1347,1368,21905,22045,22044,22035,22033,22041,22798,22033,22042,22035,22029,21958,
1657587306.1677213,A
1657587306.1687481,21778,1364,1346,1368,21915,22040,22035,22035,22039,22043,22044,22042,22041,22732,22034,21959,
1657587306.1687481,A
1657587306.1697438,21775,1364,1347,1369,21914,22045,22045,22044,22042,22042,22042,22042,22033,22040,22036,21970,
1657587306.1697438,A
1657587306.1707125,21772,1363,1348,1367,21903,22045,22043,22044,22037,22200,22042,22040,22043,22041,22040,21960,
1657587306.1707125,A
1657587306.1727355,21778,1364,1348,1368,21914,22045,22042,22042,22040,22035,22039,22039,22100,22041,22034,21965,
1657587306.1727355,A
1657587306.1737056,21775,1364,1348,1368,21907,22047,22045,22041,22042,22041,22033,22039,22039,22041,22038,22021,
1657587306.1737056,A
1657587306.1747274,21772,1364,1348,1368,21910,22041,22036,22036,22025,22032,22033,22035,22035,22032,22036,21966,
1657587306.1747274,A
1657587306.1757314,21775,1363,1347,1368,21905,22046,22041,22040,22040,22039,22038,22786,22042,22039,22035,21968,
1657587306.1757314,A
1657587306.1776946,21778,1363,1348,1368,21916,22037,22044,22037,22036,22036,22035,22035,22034,22034,22729,21966,
1657587306.1776946,A
1657587306.1796887,21780,1362,1348,1368,21904,22039,22045,22044,22042,22038,22033,22032,22035,22032,22028,21968,
1657587306.1796887,A
1657587306.1806872,21779,1364,1348,1367,21912,22045,22043,22041,22037,22035,22283,22042,22040,22040,22036,21968,
1657587306.1806872,A
1657587306.1816843,21776,1363,1348,1368,21911,22043,22039,22039,22041,22036,22033,22042,22042,22148,22039,21968,
1657587306.1816843,A
1657587306.1827104,21780,1362,1348,1367,21909,22041,22046,22040,22042,22039,22041,22040,22041,22037,22035,21966,
1657587306.1827104,A
1657587306.1837149,21951,1364,1348,1367,21907,22044,22039,22037,22039,22039,22035,22043,22042,22041,22035,21968,
1657587306.1837149,A
1657587306.1847043,21780,1362,1348,1367,21914,22044,22036,22035,22036,22032,22037,22037,22522,22037,22035,21965,
1657587306.1847043,A
1657587306.1856725,21774,1364,1348,1368,21912,22045,22042,22042,22041,22041,22038,22039,22038,22037,22034,22706,
1657587306.1856725,A
1657587306.1867008,21780,1364,1347,1368,21913,22046,22040,22035,22042,22033,22039,22042,22041,22032,22039,21967,
1657587306.1867008,A
1657587306.1876953,21778,1365,1346,1368,21912,22041,22039,22042,22039,22035,22036,22237,22040,22038,22033,21967,
1657587306.1876953,A
1657587306.1896956,21775,1364,1348,1368,21912,22046,22042,22042,22042,22039,22040,22039,22042,22043,22107,21965,
1657587306.1896956,A
1657587306.1916578,21778,1363,1347,1370,21913,22045,22043,22040,22041,22040,22039,22042,22041,22036,22029,21966,
1657587306.1916578,A
1657587306.1926696,21775,1363,1347,1368,21913,22042,22041,22037,22041,22035,22037,22038,22034,22039,22031,21964,
1657587306.1926696,A
1657587306.194676,21775,1364,1347,1367,21906,22040,22038,22038,22035,22037,22034,22038,22034,22541,22036,21964,
1657587306.194676,A
1657587306.1956704,21775,1364,1348,1368,21909,22042,22038,22035,22039,22035,22035,22038,22040,22036,22031,21959,
1657587306.1956704,A
1657587306.1966438,22415,1363,1348,1368,21913,22042,22041,22038,22038,22035,22036,22039,22039,22040,22038,21963,
1657587306.1966438,A
1657587306.1976686,21773,1364,1347,1368,21904,22036,22035,22041,22032,22041,22039,22039,22198,22042,22028,21969,
1657587306.1976686,A
1657587306.1986384,21776,1364,1347,1368,22598,22042,22042,22044,22041,22042,22041,22040,22040,22034,22034,22025,
1657587306.1986384,A
1657587306.1996617,21776,1364,1349,1367,21907,22042,22040,22039,22046,22035,22038,22040,22041,22040,22036,21968,
1657587306.1996617,A
1657587306.2006583,21779,1363,1347,1368,21912,22045,22042,22042,22038,22037,22037,22034,22034,22034,22031,21961,
1657587306.2006583,A
1657587306.2016547,21776,1363,1346,1368,21908,22042,22042,22040,22041,22037,22037,22035,22032,22035,22452,21964,
1657587306.2016547,A
1657587306.202653,21781,1362,1348,1368,21907,22041,22036,22037,22042,22042,22035,22036,22036,22037,22034,21960,
1657587306.2036526,A
1657587306.2046225,21772,1364,1348,1368,21906,22038,22035,22036,22042,22033,22041,22041,22033,22032,22029,21966,
1657587306.2046225,A
1657587306.2056508,21772,1363,1347,1369,21904,22045,22043,22041,22043,22032,22030,22042,22032,22032,22031,21958,
1657587306.2056508,A
1657587306.2066185,21771,1364,1346,1369,21906,22778,22040,22037,22035,22036,22037,22039,22038,22039,22035,21968,
1657587306.207614,A
1657587306.2086122,21875,1364,1347,1367,21910,22042,22044,22038,22033,22035,22034,22036,22036,22036,22029,21958,
1657587306.2086122,A
1657587306.2096345,21779,1363,1348,1368,21915,22038,22037,22033,22042,22033,22033,22034,22040,22033,22032,21958,
1657587306.2096345,A
1657587306.2106333,21780,1364,1348,1367,21935,22042,22044,22042,22043,22042,22039,22039,22040,22035,22036,22133,
1657587306.2106333,A
1657587306.2116046,21773,1364,1347,1369,21910,22042,22039,22040,22035,22039,22032,22039,22039,22037,22033,21963,
1657587306.2116046,A
1657587306.2126257,21775,1364,1348,1368,21913,22038,22042,22042,22034,22039,22042,22035,22042,22041,22034,21966,
1657587306.2126257,A
1657587306.2136257,21776,1362,1348,1370,21907,22036,22035,22033,22044,22037,22033,22033,22041,22040,22028,21966,
1657587306.2136257,A
1657587306.214634,21780,1364,1346,1369,21913,22045,22736,22036,22036,22032,22035,22035,22033,22033,22030,21968,
1657587306.214634,A
1657587306.2165904,21775,1362,1347,1369,21908,22037,22043,22041,22039,22039,22041,22041,22042,22038,22035,21958,
1657587306.2165904,A
1657587306.2176201,21778,1363,1347,1367,21908,22045,22044,22043,22042,22041,22042,22041,22039,22039,22035,21961,
1657587306.2176201,A
1657587306.2186115,21775,1364,1347,1369,21909,22042,22040,22039,22037,22036,22037,22039,22037,22035,22033,21965,
1657587306.2186115,A
1657587306.2196069,21939,1363,1348,1368,21910,22039,22041,22040,22038,22036,22036,22037,22035,22037,22036,21965,
1657587306.2196069,A
1657587306.2206075,21775,1364,1348,1369,21912,22045,22041,22040,22038,22038,22038,22040,22037,22038,22035,21967,
1657587306.2206075,A
1657587306.2216043,21774,1364,1348,1367,22669,22045,22042,22038,22039,22035,22041,22036,22038,22037,22031,21961,
1657587306.2216043,A
1657587306.2226017,21776,1364,1348,1368,21908,22043,22042,22732,22045,22037,22039,22042,22042,22042,22037,21963,
1657587306.2226017,A
1657587306.2236063,21778,1364,1348,1369,21915,22037,22043,22042,22041,22039,22040,22044,22040,22038,22036,21961,
1657587306.2236063,A
1657587306.2245967,21781,1363,1347,1366,21905,22039,22043,22034,22042,22040,22040,22041,22038,22039,22040,21965,
1657587306.2245967,A
1657587306.2255945,21776,1363,1348,1367,21914,22037,22138,22042,22042,22039,22038,22040,22042,22037,22033,21967,
1657587306.2255945,A
1657587306.2265937,21775,1364,1347,1370,21910,22041,22042,22042,22040,22054,22038,22039,22041,22036,22033,21959,
1657587306.2275891,A
1657587306.2285855,21778,1364,1346,1368,21911,22044,22041,22039,22041,22034,22038,22035,22037,22035,22035,21958,
1657587306.2285855,A
1657587306.2295866,21772,1364,1347,1369,21914,22730,22042,22040,22037,22038,22037,22035,22036,22035,22032,21960,
1657587306.2295866,A
1657587306.2305532,21776,1363,1348,1368,21907,22044,22042,22042,22730,22033,22041,22041,22043,22030,22029,21958,
1657587306.2305532,A
1657587306.23158,21783,1364,1347,1368,21914,22036,22035,22033,22041,22032,22032,22036,22035,22037,22033,21965,
1657587306.23158,A
1657587306.232576,21777,1363,1348,1369,22093,22045,22045,22032,22035,22033,22039,22035,22032,22033,22027,21963,
1657587306.232576,A
1657587306.2335732,21781,1365,1348,1367,21906,22038,22037,22126,22036,22033,22032,22041,22032,22032,22029,21967,
1657587306.2335732,A
1657587306.234571,21775,1363,1347,1368,21906,22045,22036,22033,22041,22039,22218,22039,22036,22032,22035,21965,
1657587306.234571,A
1657587306.2355678,21775,1364,1346,1367,21913,22045,22044,22042,22044,22032,22042,22041,22041,22039,22037,21968,
1657587306.2355678,A
1657587306.2365677,21780,1363,1347,1367,21910,22044,22528,22035,22034,22033,22031,22031,22032,22033,22030,21958,
1657587306.2375658,A
1657587306.238559,21771,1364,1347,1368,21907,22042,22041,22041,22034,22694,22032,22042,22042,22042,22038,21958,
1657587306.238559,A
1657587306.2395594,21776,1364,1348,1368,21905,22036,22045,22042,22042,22039,22033,22042,22038,22038,22033,21964,
1657587306.2395594,A
1657587306.2405548,21775,1361,1347,1367,21908,22184,22040,22039,22039,22039,22042,22040,22039,22041,22037,21970,
1657587306.2405548,A
1657587306.2415516,21779,1362,1346,1369,21909,22044,22041,22040,22145,22035,22041,22042,22041,22038,22035,21965,
1657587306.2415516,A
1657587306.2425518,21776,1364,1347,1369,21911,22042,22041,22041,22042,22037,22036,22228,22037,22035,22032,21965,
1657587306.2425518,A
1657587306.244545,21776,1364,1347,1368,21911,22043,22043,22039,22037,22041,22042,22041,22039,22040,22034,21964,
1657587306.244545,A
1657587306.2455347,21774,1362,1347,1368,21913,22045,22044,22229,22042,22032,22040,22042,22043,22039,22038,21964,
1657587306.2455347,A
1657587306.246542,21780,1364,1347,1367,21914,22045,22034,22034,22034,22032,22822,22043,22044,22033,22029,21958,
1657587306.246542,A
1657587306.247535,21777,1363,1346,1368,21913,22044,22042,22040,22040,22036,22038,22036,22041,22779,22035,21961,
1657587306.247535,A
1657587306.2485325,21772,1364,1346,1368,21909,22041,22209,22042,22039,22036,22038,22042,22041,22040,22034,21965,
1657587306.2485325,A
1657587306.24953,21772,1363,1347,1368,21907,22043,22035,22038,22037,22167,22039,22041,22039,22036,22039,21958,
1657587306.24953,A
1657587306.2505302,21773,1364,1347,1368,21909,22042,22037,22039,22038,22035,22035,22038,22181,22035,22033,21961,
1657587306.2505302,A
1657587306.2515244,21773,1363,1348,1369,21906,22045,22038,22037,22038,22038,22042,22036,22035,22036,22034,21960,
1657587306.2515244,A
1657587306.2535195,21773,1364,1348,1369,21912,22047,22035,22043,22456,22041,22043,22039,22039,22039,22031,21961,
1657587306.2535195,A
1657587306.2545168,21781,1364,1346,1369,21910,22042,22042,22038,22035,22032,22037,22706,22037,22037,22029,21959,
1657587306.2545168,A
1657587306.255516,21775,1362,1348,1368,21912,22040,22035,22035,22035,22036,22038,22037,22038,22039,22869,21963,
1657587306.255516,A
1657587306.2565074,21772,1364,1347,1370,21907,22040,22036,22031,22041,22036,22037,22037,22037,22038,22033,21963,
1657587306.2565074,A
1657587306.2575085,21783,1364,1348,1367,21909,22043,22043,22037,22039,22037,22138,22035,22035,22034,22032,21961,
1657587306.2575085,A
1657587306.2585094,21771,1363,1347,1370,21906,22039,22039,22039,22037,22039,22035,22039,22037,22039,22032,21961,
1657587306.2585094,A
1657587306.2605004,21774,1363,1347,1368,21909,22043,22037,22041,22042,22041,22040,22042,22039,22039,22038,21963,
1657587306.2605004,A
1657587306.261501,21775,1364,1348,1370,21913,22046,22042,22034,22033,22199,22040,22042,22032,22043,22030,21961,
1657587306.261501,A
1657587306.2624953,21779,1362,1349,1369,21916,22047,22036,22045,22035,22032,22044,22043,22419,22041,22037,21965,
1657587306.2624953,A
1657587306.2634978,21775,1361,1348,1369,21913,22044,22042,22042,22041,22039,22041,22037,22039,22038,22037,22660,
1657587306.2634978,A
1657587306.2644897,21779,1363,1348,1369,21913,22046,22042,22033,22036,22032,22034,22042,22039,22035,22038,21966,
1657587306.2644897,A
1657587306.2654874,21775,1364,1348,1368,21912,22042,22043,22039,22040,22036,22036,22111,22041,22043,22036,21966,
1657587306.2654874,A
1657587306.2664845,21775,1363,1347,1368,21914,22048,22045,22042,22038,22035,22042,22036,22035,22036,22031,21963,
1657587306.2664845,A
1657587306.2674825,21775,1362,1347,1367,21907,22040,22039,22045,22040,22038,22037,22037,22037,22041,22038,21965,
1657587306.2674825,A
1657587306.2684793,21775,1363,1348,1369,21911,22043,22039,22038,22037,22036,22202,22038,22035,22032,22032,21961,
1657587306.2684793,A
1657587306.2704465,21781,1364,1347,1367,21907,22045,22038,22038,22037,22035,22036,22039,22039,22801,22035,21965,
1657587306.2704465,A
1657587306.2714732,21776,1364,1347,1368,21909,22039,22038,22037,22035,22038,22038,22037,22039,22038,22034,21962,
1657587306.2714732,A
1657587306.2724688,22465,1362,1348,1368,21910,22042,22043,22040,22038,22040,22036,22038,22034,22035,22034,21964,
1657587306.2724688,A
1657587306.2744718,21776,1364,1347,1368,21907,22042,22039,22039,22035,22035,22034,22035,22447,22037,22031,21961,
1657587306.2744718,A
1657587306.2754612,21772,1362,1348,1368,21911,22048,22042,22042,22041,22035,22036,22039,22036,22038,22034,22100,
1657587306.2754612,A
1657587306.2764587,21775,1363,1348,1368,21907,22039,22039,22036,22043,22035,22034,22036,22036,22036,22030,21961,
1657587306.2764587,A
1657587306.2774603,21775,1364,1348,1368,21908,22041,22039,22039,22039,22035,22036,22041,22032,22035,22033,21961,
1657587306.2774603,A
1657587306.278462,21772,1363,1347,1368,21912,22046,22044,22040,22038,22040,22039,22038,22039,22034,22726,21965,
1657587306.278462,A
1657587306.27945,21775,1364,1348,1370,21913,22045,22043,22035,22039,22037,22039,22040,22041,22041,22033,21967,
1657587306.27945,A
1657587306.280448,21775,1364,1347,1368,21910,22039,22038,22037,22036,22035,22036,22034,22038,22038,22034,21963,
1657587306.280448,A
1657587306.2824445,21775,1364,1348,1370,21910,22042,22042,22041,22039,22039,22041,22041,22040,22238,22035,21967,
1657587306.2824445,A
1657587306.2834396,21779,1364,1348,1369,21907,22039,22038,22036,22036,22042,22039,22039,22040,22037,22035,21965,
1657587306.2834396,A
1657587306.284409,21836,1364,1348,1367,21908,22041,22040,22037,22040,22035,22032,22039,22040,22038,22034,21963,
1657587306.284409,A
1657587306.2854335,21774,1364,1346,1367,21905,22038,22039,22041,22033,22032,22033,22035,22038,22033,22028,21958,
1657587306.2854335,A
1657587306.286431,21778,1364,1348,1369,22138,22037,22037,22032,22035,22033,22032,22032,22033,22032,22028,22454,
1657587306.286431,A
1657587306.287449,21784,1364,1347,1368,21906,22047,22046,22042,22035,22041,22040,22041,22041,22042,22038,21968,
1657587306.287449,A
1657587306.288426,21772,1364,1347,1368,21907,22041,22040,22039,22039,22035,22037,22032,22035,22037,22034,21961,
1657587306.2894237,A
1657587306.2903924,21771,1364,1348,1368,21909,22042,22041,22037,22042,22034,22039,22038,22040,22035,22043,21968,
1657587306.2903924,A
1657587306.2914186,21775,1363,1348,1370,21906,22042,22039,22038,22035,22033,22033,22036,22034,22039,22038,21965,
1657587306.2914186,A
1657587306.2924154,21780,1364,1349,1368,21914,22038,22036,22036,22037,22035,22042,22039,22043,22041,22039,21966,
1657587306.2924154,A
1657587306.2934175,21781,1364,1348,1367,21915,22037,22044,22041,22041,22042,22042,22042,22042,22043,22035,21963,
1657587306.2934175,A
1657587306.29441,21775,1363,1348,1368,21914,22236,22035,22044,22035,22041,22041,22035,22042,22042,22039,21959,
1657587306.29441,A
1657587306.2954094,21967,1364,1346,1368,21905,22036,22035,22041,22040,22042,22035,22039,22038,22039,22036,21968,
1657587306.2954094,A
1657587306.297402,21775,1364,1346,1369,21913,22042,22042,22039,22040,22039,22031,22041,22035,22042,22033,21965,
1657587306.297402,A
1657587306.2983997,21776,1364,1347,1367,22720,22049,22036,22033,22035,22032,22041,22039,22034,22033,22029,22042,
1657587306.2983997,A
1657587306.2993972,21780,1363,1346,1368,21911,22046,22040,22760,22042,22040,22041,22034,22043,22032,22036,21968,
1657587306.2993972,A
1657587306.300394,21778,1361,1348,1367,21908,22048,22044,22034,22042,22031,22033,22045,22034,22033,22029,21958,
1657587306.300394,A
1657587306.301395,21773,1364,1346,1368,21913,22043,22040,22039,22041,22040,22040,22040,22041,22034,22035,21968,
1657587306.301395,A
1657587306.302389,21776,1364,1348,1368,21913,22036,22197,22043,22043,22041,22039,22041,22041,22038,22035,21958,
1657587306.302389,A
1657587306.3033879,21780,1363,1347,1369,21914,22045,22043,22041,22042,22039,22039,22042,22044,22033,22039,21958,
1657587306.3033879,A
1657587306.3043838,21775,1364,1347,1369,21907,22043,22041,22038,22040,22036,22039,22039,22037,22039,22035,21965,
1657587306.3043838,A
1657587306.3053808,21776,1362,1348,1367,21916,22775,22038,22037,22036,22032,22032,22043,22033,22033,22032,21968,
1657587306.3053808,A
1657587306.30737,21770,1363,1348,1368,21914,22037,22036,22035,22878,22038,22035,22041,22034,22033,22031,21959,
1657587306.30737,A
1657587306.3083735,21778,1364,1348,1368,21914,22038,22035,22042,22042,22041,22040,22034,22042,22040,22037,21966,
1657587306.3083735,A
1657587306.3093736,21778,1364,1348,1368,22579,22047,22034,22033,22034,22034,22033,22042,22042,22038,22035,21965,
1657587306.3093736,A
1657587306.3103404,21776,1364,1347,1369,21905,22039,22035,22035,22042,22032,22031,22033,22043,22032,22029,21958,
1657587306.3103404,A
1657587306.311365,21778,1364,1347,1369,21910,22045,22040,22032,22041,22036,22039,22039,22038,22039,22036,21968,
1657587306.311365,A
1657587306.3123622,21777,1364,1347,1368,21910,22045,22042,22035,22041,22037,22040,22043,22037,22042,22031,21969,
1657587306.3123622,A
1657587306.314359,21781,1364,1347,1367,21915,22046,22804,22043,22044,22041,22032,22036,22034,22037,22031,21968,
1657587306.314359,A
1657587306.3153536,21781,1363,1347,1367,21914,22046,22043,22041,22042,22733,22042,22034,22034,22030,22033,21960,
1657587306.3153536,A
1657587306.3163514,21775,1362,1347,1369,21907,22047,22042,22043,22038,22033,22034,22035,22036,22035,22029,21962,
1657587306.3163514,A
1657587306.3173487,21784,1362,1348,1368,21908,22155,22043,22042,22042,22042,22039,22041,22044,22041,22038,21968,
1657587306.3173487,A
1657587306.3183463,21783,1364,1347,1369,21911,22046,22042,22042,22042,22041,22039,22034,22042,22042,22031,21968,
1657587306.3183463,A
1657587306.3193457,21781,1362,1347,1369,21910,22036,22037,22043,22033,22032,22035,22037,22036,22037,22041,21968,
1657587306.3193457,A
1657587306.3203406,21774,1363,1348,1369,21912,22041,22039,22040,22040,22039,22039,22039,22036,22035,22035,21968,
1657587306.3203406,A
1657587306.3223078,21778,1365,1347,1369,21909,22042,22042,22730,22042,22035,22041,22037,22042,22040,22038,21964,
1657587306.3223078,A
1657587306.323309,21776,1364,1347,1367,21910,22044,22044,22035,22035,22041,22734,22044,22042,22032,22027,21968,
1657587306.323309,A
1657587306.3243015,21780,1364,1347,1367,21903,22042,22044,22042,22032,22039,22042,22040,22037,22041,22041,21967,
1657587306.3243015,A
1657587306.3252988,21778,1364,1347,1367,21916,22046,22644,22045,22035,22032,22032,22035,22036,22034,22030,21961,
1657587306.3262959,A
1657587306.3272932,21771,1364,1347,1368,21915,22039,22035,22042,22036,22161,22040,22042,22033,22042,22036,21958,
1657587306.3272932,A
1657587306.3282905,21780,1365,1348,1367,21907,22040,22038,22034,22042,22034,22032,22045,22168,22044,22032,21959,
1657587306.3282905,A
1657587306.329288,21781,1364,1347,1369,21913,22043,22042,22039,22038,22036,22038,22034,22040,22035,22029,21960,
1657587306.329288,A
1657587306.3302853,21773,1362,1347,1369,21913,22043,22039,22037,22702,22039,22035,22040,22040,22037,22035,21961,
1657587306.3302853,A
1657587306.3312824,21773,1362,1348,1367,21908,22044,22044,22039,22042,22038,22038,22875,22038,22038,22032,21961,
1657587306.3312824,A
1657587306.33228,21769,1364,1347,1369,21911,22043,22042,22037,22037,22038,22035,22038,22036,22035,22034,21965,
1657587306.33228,A
1657587306.3332772,21778,1364,1347,1369,21913,22044,22039,22241,22039,22035,22036,22039,22042,22041,22029,21966,
1657587306.3332772,A
1657587306.3342745,21775,1364,1348,1370,21911,22042,22042,22040,22043,22041,22061,22041,22042,22038,22037,21958,
1657587306.3342745,A
1657587306.3352718,21778,1364,1348,1367,21910,22043,22042,22037,22039,22039,22039,22039,22035,22238,22038,21968,
1657587306.3352718,A
1657587306.3372664,21775,1364,1347,1367,21915,22048,22039,22044,22042,22039,22039,22038,22037,22035,22034,21964,
1657587306.3372664,A
1657587306.3382638,21774,1363,1346,1368,21908,22048,22044,22036,22035,22528,22042,22034,22030,22035,22030,21968,
1657587306.3382638,A
1657587306.3392613,21781,1363,1347,1368,21916,22038,22036,22035,22033,22032,22042,22036,22600,22033,22029,21963,
1657587306.3392613,A
1657587306.3402593,21769,1363,1347,1367,21907,22038,22037,22035,22035,22042,22032,22033,22042,22041,22029,21958,
1657587306.3402593,A
1657587306.341256,21778,1363,1346,1368,21908,22039,22036,22036,22331,22038,22044,22042,22042,22044,22039,21960,
